,zipcode,StateName,2018-12,starbucks_count,target_count,fastfoodstores,total
0,15237,Pennsylvania,230100,6,3,1,10
1,28277,North Carolina,325600,10,2,,12
2,94538,California,919700,10,2,2,14
3,93003,California,555200,10,2,1,13
4,60657,Illinois,429700,9,2,,11
5,95123,California,883200,9,2,1,12
6,92691,California,651400,9,2,1,12
7,90650,California,480100,8,2,1,11
8,92683,California,652400,8,2,3,13
9,95014,California,,8,2,1,11
10,46032,Indiana,319500,8,2,1,11
11,66062,Kansas,263700,7,2,,9
12,93065,California,580600,7,2,,9
13,91710,California,475500,7,2,4,13
14,80525,Colorado,392800,7,2,3,12
15,94568,California,884100,7,2,,9
16,74133,Oklahoma,181600,7,2,4,13
17,80016,Colorado,528900,7,2,2,11
18,80012,Colorado,291500,7,2,2,11
19,92111,California,538600,7,2,1,10
20,90703,California,709300,7,2,1,10
21,50266,Iowa,241000,7,2,1,10
22,19341,Pennsylvania,330700,7,2,1,10
23,75070,Texas,316000,6,2,6,14
24,92562,California,426300,6,2,1,9
25,55125,Minnesota,256200,6,2,1,9
26,79936,Texas,127900,5,2,1,8
27,75052,Texas,227200,5,2,1,8
28,43068,Ohio,174500,5,2,1,8
29,28273,North Carolina,215400,5,2,1,8
30,93612,California,218900,5,2,2,9
31,32904,Florida,241600,4,2,2,8
32,60714,Illinois,266400,4,2,,6
33,11725,New York,493400,4,2,,6
34,30062,Georgia,304000,3,2,,5
35,21061,Maryland,229300,3,2,2,7
36,27529,North Carolina,231600,3,2,4,9
37,78258,Texas,330900,3,2,1,6
38,78504,Texas,179100,3,2,2,7
39,68516,Nebraska,258800,3,2,3,8
40,63368,Missouri,219200,3,2,7,12
41,50322,Iowa,181200,3,2,,5
42,55428,Minnesota,221600,3,2,5,10
43,43026,Ohio,226500,2,2,3,7
44,55124,Minnesota,268300,2,2,,4
45,1752,Massachusetts,331500,2,2,1,5
46,55433,Minnesota,209400,2,2,,4
47,84084,Utah,303400,2,2,2,6
48,19064,Pennsylvania,298800,2,2,,4
49,6611,Connecticut,383800,1,2,,3
50,92626,California,772400,13,1,3,17
51,98052,Washington,770100,12,1,1,14
52,95630,California,569000,12,1,1,14
53,85281,Arizona,201600,12,1,1,14
54,92108,California,369400,12,1,1,14
55,33607,Florida,190100,12,1,2,15
56,85032,Arizona,220500,11,1,1,13
57,95678,California,395100,11,1,3,15
58,91355,California,521500,11,1,3,15
59,30022,Georgia,340000,10,1,,11
60,97223,Oregon,409200,10,1,5,16
61,21401,Maryland,408200,10,1,2,13
62,80501,Colorado,,10,1,4,15
63,98208,Washington,448600,9,1,1,11
64,75093,Texas,,9,1,1,11
65,95050,California,1149300,9,1,1,11
66,77494,Texas,323800,8,1,1,10
67,27410,North Carolina,202900,8,1,,9
68,95670,California,336700,8,1,1,10
69,30144,Georgia,206100,8,1,2,11
70,76051,Texas,366200,8,1,2,11
71,92024,California,1046700,8,1,,9
72,98125,Washington,564300,8,1,2,11
73,78216,Texas,237800,8,1,2,11
74,27103,North Carolina,151900,8,1,2,11
75,91764,California,396000,8,1,,9
76,92821,California,639700,8,1,,9
77,94583,California,,8,1,1,10
78,91505,California,697100,8,1,,9
79,19406,Pennsylvania,289800,8,1,,9
80,60018,Illinois,252600,8,1,1,10
81,7652,New Jersey,634200,8,1,1,10
82,94501,California,907200,7,1,2,10
83,28027,North Carolina,237800,7,1,1,9
84,76063,Texas,279700,7,1,1,9
85,89052,Nevada,410800,7,1,3,11
86,80634,Colorado,315300,7,1,2,10
87,95687,California,,7,1,2,10
88,95758,California,389500,7,1,,8
89,30909,Georgia,161400,7,1,2,10
90,33511,Florida,202000,7,1,1,9
91,20852,Maryland,369000,7,1,3,11
92,22192,Virginia,318600,7,1,1,9
93,97504,Oregon,316600,7,1,2,10
94,45069,Ohio,236600,7,1,16,24
95,93277,California,231100,7,1,,8
96,92260,California,347300,7,1,,8
97,85260,Arizona,374900,7,1,2,10
98,80401,Colorado,532900,7,1,2,10
99,95037,California,945900,7,1,,8
100,92688,California,,7,1,1,9
101,80021,Colorado,370000,7,1,,8
102,79925,Texas,128000,7,1,1,9
103,22033,Virginia,470400,7,1,2,10
104,92025,California,482600,7,1,,8
105,94551,California,741800,7,1,2,10
106,27560,North Carolina,309700,7,1,1,9
107,94523,California,756200,7,1,,8
108,90505,California,893600,7,1,2,10
109,95129,California,1690100,7,1,1,9
110,80003,Colorado,376100,7,1,5,13
111,60607,Illinois,,7,1,1,9
112,86001,Arizona,383400,7,1,1,9
113,95661,California,496200,7,1,1,9
114,80033,Colorado,370400,7,1,1,9
115,93454,California,346300,7,1,9,17
116,92802,California,515900,7,1,1,9
117,93710,California,257600,7,1,,8
118,95603,California,451300,7,1,5,13
119,98373,Washington,342900,7,1,1,9
120,98188,Washington,333000,7,1,,8
121,80124,Colorado,551500,7,1,,8
122,90250,California,648800,6,1,1,8
123,78613,Texas,305400,6,1,1,8
124,77479,Texas,325700,6,1,1,8
125,30024,Georgia,321000,6,1,2,9
126,23320,Virginia,246300,6,1,3,10
127,89117,Nevada,,6,1,3,10
128,27707,North Carolina,221400,6,1,2,9
129,94541,California,638400,6,1,3,10
130,27519,North Carolina,,6,1,,7
131,89103,Nevada,174500,6,1,6,13
132,22407,Virginia,272700,6,1,3,10
133,19702,Delaware,,6,1,1,8
134,95350,California,279600,6,1,1,8
135,92618,California,947600,6,1,1,8
136,85374,Arizona,,6,1,3,10
137,23188,Virginia,310200,6,1,1,8
138,95020,California,775900,6,1,1,8
139,91706,California,438000,6,1,2,9
140,98226,Washington,391600,6,1,2,9
141,30097,Georgia,398700,6,1,1,8
142,91942,California,503300,6,1,3,10
143,91344,California,664500,6,1,,7
144,97701,Oregon,361500,6,1,,7
145,60462,Illinois,203000,6,1,,7
146,75013,Texas,415400,6,1,2,9
147,29577,South Carolina,139500,6,1,4,11
148,95825,California,251500,6,1,1,8
149,43017,Ohio,349200,6,1,,7
150,98503,Washington,279200,6,1,1,8
151,60540,Illinois,395400,6,1,1,8
152,90815,California,,6,1,1,8
153,80126,Colorado,485100,6,1,,7
154,60031,Illinois,222500,6,1,2,9
155,80112,Colorado,394800,6,1,4,11
156,92591,California,445900,6,1,,7
157,44070,Ohio,160200,6,1,1,8
158,92374,California,359300,6,1,,7
159,95380,California,285900,6,1,3,10
160,95401,California,483900,6,1,,7
161,91107,California,881200,6,1,,7
162,98499,Washington,292600,6,1,1,8
163,89130,Nevada,272000,6,1,1,8
164,92110,California,523300,6,1,1,8
165,95356,California,318900,6,1,2,9
166,92083,California,439800,6,1,3,10
167,97005,Oregon,359300,6,1,3,10
168,91101,California,615800,6,1,,7
169,20190,Virginia,376700,6,1,,7
170,80023,Colorado,588600,6,1,,7
171,49512,Michigan,219000,6,1,1,8
172,95110,California,742100,6,1,1,8
173,99218,Washington,293800,6,1,1,8
174,60618,Illinois,387800,5,1,3,9
175,77429,Texas,278000,5,1,2,8
176,94533,California,375400,5,1,2,8
177,77459,Texas,277700,5,1,,6
178,92336,California,441800,5,1,1,7
179,92503,California,381700,5,1,1,7
180,28078,North Carolina,293300,5,1,2,8
181,91730,California,424600,5,1,3,9
182,32256,Florida,136700,5,1,2,8
183,23454,Virginia,270600,5,1,,6
184,33027,Florida,218700,5,1,2,8
185,85705,Arizona,134600,5,1,1,7
186,30004,Georgia,346800,5,1,2,8
187,97402,Oregon,254200,5,1,1,7
188,29464,South Carolina,456400,5,1,1,7
189,80015,Colorado,402500,5,1,3,9
190,77007,Texas,387800,5,1,1,7
191,23451,Virginia,391100,5,1,1,7
192,32246,Florida,143000,5,1,2,8
193,90631,California,558800,5,1,5,11
194,92115,California,525700,5,1,,6
195,85204,Arizona,222600,5,1,2,8
196,37027,Tennessee,591700,5,1,3,9
197,77346,Texas,241500,5,1,3,9
198,38305,Tennessee,153600,5,1,4,10
199,23322,Virginia,331100,5,1,1,7
200,75098,Texas,261300,5,1,,6
201,94591,California,444800,5,1,,6
202,94015,California,998900,5,1,,6
203,99336,Washington,242800,5,1,15,21
204,92704,California,438700,5,1,3,9
205,92071,California,496900,5,1,1,7
206,89129,Nevada,307500,5,1,1,7
207,29607,South Carolina,237600,5,1,5,11
208,23185,Virginia,309500,5,1,15,21
209,85338,Arizona,247500,5,1,,6
210,80918,Colorado,276000,5,1,,6
211,98003,Washington,328100,5,1,2,8
212,95207,California,261000,5,1,2,8
213,19103,Pennsylvania,504700,5,1,2,8
214,40509,Kentucky,235200,5,1,4,10
215,49424,Michigan,215100,5,1,,6
216,85382,Arizona,259500,5,1,2,8
217,90803,California,869300,5,1,,6
218,77388,Texas,203500,5,1,1,7
219,20902,Maryland,379200,5,1,2,8
220,91702,California,,5,1,1,7
221,93446,California,471500,5,1,8,14
222,29407,South Carolina,261800,5,1,1,7
223,97123,Oregon,367600,5,1,,6
224,93551,California,363800,5,1,5,11
225,20176,Virginia,513700,5,1,,6
226,91950,California,430600,5,1,2,8
227,90278,California,1029700,5,1,,6
228,89014,Nevada,297100,5,1,2,8
229,53207,Wisconsin,166900,5,1,2,8
230,94066,California,891000,5,1,,6
231,93010,California,605600,5,1,,6
232,93311,California,301700,5,1,,6
233,85296,Arizona,,5,1,1,7
234,92064,California,759500,5,1,,6
235,92127,California,822800,5,1,,6
236,99504,Alaska,225600,5,1,2,8
237,94901,California,,5,1,,6
238,94608,California,653500,5,1,,6
239,91320,California,,5,1,1,7
240,94404,California,1243500,5,1,,6
241,14225,New York,117500,5,1,,6
242,90740,California,879100,5,1,,6
243,99352,Washington,319500,5,1,12,18
244,37919,Tennessee,246200,5,1,2,8
245,40207,Kentucky,296600,5,1,3,9
246,23235,Virginia,223200,5,1,3,9
247,30269,Georgia,305600,5,1,1,7
248,98006,Washington,978700,5,1,1,7
249,34243,Florida,243100,5,1,,6
250,80027,Colorado,591000,5,1,,6
251,94531,California,493900,5,1,,6
252,91362,California,835900,5,1,1,7
253,55122,Minnesota,250000,5,1,,6
254,43214,Ohio,273900,5,1,1,7
255,80601,Colorado,338400,5,1,1,7
256,93036,California,539500,5,1,,6
257,92831,California,627300,5,1,1,7
258,95407,California,519400,5,1,,6
259,98662,Washington,317100,5,1,3,9
260,89511,Nevada,566400,5,1,2,8
261,98027,Washington,769700,5,1,2,8
262,76053,Texas,193800,5,1,,6
263,33913,Florida,276000,5,1,,6
264,46804,Indiana,174700,5,1,1,7
265,37067,Tennessee,461600,5,1,,6
266,93021,California,625800,5,1,,6
267,80301,Colorado,,5,1,,6
268,97220,Oregon,333500,5,1,1,7
269,98684,Washington,316000,5,1,2,8
270,80129,Colorado,447300,5,1,1,7
271,44136,Ohio,208500,5,1,1,7
272,98271,Washington,365100,5,1,4,10
