RegionID,RegionName,SizeRank,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02
102001,United States,0,188e3,184800,180600,176600,175100,174300,173400,171800,169300,166200,163200,161800,159500,155500,151500,150700,152900,155800,157600,158500,159800,161100,163200,163200,164400,161500,159500,155900,156700,157400,159200,158300,158400,157600,157800,157e3,154800,152200,149300,149e3,149700,150100,149500,148400,148300,148900,148700,148400,148400,149400,151400,153200,155200,156900,157700,159e3,16e4,162300,162900,163e3,163400,165100,167600,169200,171900,174100,174600,174800,174100,174500,173800,174900,175400,175900,176100,176800,178400,180100,181700,182200,182200,182100,183800,185900,188800,190500,192e3,192600,193400,193100,193e3,192200,192300,194e3,195800,197e3,196600,197100,197700,199400,2e5,201500,202100,204200,206400,207700,208700,209300,210100,210300,210400,210700,211500,212300,214500,216100,218800,220300,223800,227200,230800,230300,227700,225200,224300,224400,224200,225200,227e3,227600,230100,
394913,"New York, NY",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362700,362e3,362400,363800,365900,362100,356600,353600,353300,350700,340500,329e3,324500,322800,324400,324600,329e3,332600,336800,338100,336200,336200,337300,338700,336e3,333600,329800,331100,330800,335e3,337400,341600,349500,353300,355300,350700,349200,348500,349400,349700,349900,352400,352600,353400,354600,353900,353700,352400,353300,355900,355e3,355500,354700,352700,352700,351e3,353600,355600,357200,358700,359e3,357900,358400,359200,360600,360500,360400,361600,362800,362100,362100,361e3,360700,356700,360200,363600,372500,374e3,374800,374300,372e3,374300,374900,379700,381e3,382100,383e3,385200,388200,388800,387800,388200,389700,392100,391500,390900,388800,386600,
753899,"Los Angeles-Long Beach-Anaheim, CA",2,475500,463700,447600,436500,421700,407400,392100,379400,367700,356100,341500,331700,325400,321500,320500,326300,334700,341200,348700,355500,363100,366300,370300,369200,367900,363600,366900,364e3,365600,360400,366700,365300,368400,364600,361e3,358100,355100,355800,352700,348400,347400,345500,345e3,338800,338400,336500,337e3,335600,336600,340900,344400,349e3,356e3,362900,372700,377600,387200,395e3,398300,400800,406e3,420900,433200,442800,447700,450500,452400,454300,456500,456800,453900,455500,457100,461200,464400,464900,467700,468200,470700,474400,476e3,478e3,479700,486500,491400,496200,494500,498200,499500,504200,505100,503400,504100,509800,517200,520400,520200,523400,528200,53e4,529200,530800,532900,531500,530200,527700,530500,525300,529100,53e4,538700,540300,544400,545500,551600,562200,579600,589100,596100,601300,609700,611900,614300,615400,616800,617300,,,,,,
394463,"Chicago, IL",3,257100,254400,239e3,226200,223400,223e3,226800,225300,222700,219100,212400,210800,206800,202800,193900,187600,188e3,191500,194500,196900,198700,198800,198e3,199e3,197100,194300,187e3,186e3,183600,184400,181100,183e3,186700,187900,185500,180900,176600,171900,165e3,163100,165300,169e3,169700,167800,165e3,165700,161500,161300,158600,160200,158500,161300,163100,165600,165100,163900,165e3,163700,164200,162400,162100,162300,165900,172e3,182800,187800,192700,193300,194600,195e3,192400,195100,194e3,193900,191500,193300,196400,200400,204200,204800,203600,200300,200300,201800,204600,206500,205900,204100,202e3,194900,191500,187200,187100,185100,182900,183e3,184500,187200,188300,189200,190400,193300,192900,193900,195400,199600,202400,204400,206200,207100,206400,203800,201e3,199500,198600,200100,203200,206500,211300,216700,226200,228500,226e3,221500,221100,219900,218900,219800,227600,225800,227600,231500
394514,"Dallas-Fort Worth, TX",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199400,200700,201900,202500,202400,202400,204200,205300,206200,207100,208100,209600,212400,214500,217500,218300,219200,22e4,220200,220100,221300,226100,230900,232600,232e3,230300,230900,232200,235600,238e3,239900,241e3,242500,246e3,247900,247500,244700,243400,246200,246800,251100,252400,254700,252900,250800,
394974,"Philadelphia, PA",5,210100,209200,207200,198400,195200,195e3,196600,197100,198100,198e3,197300,196e3,199400,199400,195900,188700,186e3,188800,190700,192400,193500,198300,201100,201500,201600,201500,198300,191600,188700,185900,187600,187800,192300,196e3,200900,201300,197900,192100,184800,181400,180200,181800,180400,179100,179200,183700,185e3,187e3,185400,185400,185400,186700,187e3,187600,182300,182400,184800,194700,197700,195700,191900,191200,191e3,191600,193700,197500,196300,195300,194100,196e3,195600,193300,194300,192800,193e3,191300,191300,192400,192900,194500,193600,193500,192800,189600,189100,191100,195100,195300,193500,192100,192900,193200,193200,191300,193100,197e3,196800,194500,192200,194e3,195800,195800,196300,194200,195200,199900,200600,202e3,199400,200700,202300,201900,201900,199500,197600,196500,195800,200700,201200,199e3,197500,197800,202400,199700,198600,198400,199500,201500,202100,205100,208800,
394692,"Houston, TX",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182400,181700,184500,186100,188600,187600,188300,189100,189900,191e3,191400,192100,193100,192700,192900,189800,189700,188600,191800,192900,195300,193100,193700,194500,198600,201500,202800,205e3,206800,208700,211200,212400,215100,215900,215500,215900,215400,216700,216800,220200,223800,224100,221200,217800,219500,221700,225400,225500,223100,221100,219600,223100,226200,229800,230400,223100,
395209,"Washington, DC",7,357400,347800,332200,317800,312100,309900,302e3,293800,286800,280900,281e3,278100,281600,276100,273300,273300,282200,296200,303400,303100,301200,300900,300600,296700,295300,298700,297600,291800,292e3,285100,294400,291400,305600,305200,303300,300600,287300,279700,271600,273200,285e3,294400,304800,297400,290900,283700,284700,281100,292200,297600,310100,312900,320800,321700,32e4,317600,319300,317500,319e3,315400,324200,327600,338100,341400,346600,347700,344100,340800,339800,34e4,340900,338500,341e3,341400,350900,351100,354500,348100,347e3,345600,347500,350400,349500,349900,356200,357600,357800,349600,347e3,345e3,347300,349300,35e4,345800,346e3,349e3,350200,352200,349700,351e3,349900,352e3,353300,357200,356100,357e3,357400,358100,359900,359500,360400,358900,359100,359300,361800,362500,364600,366500,369200,372400,380300,383600,384300,378300,373900,373600,374900,376100,377600,377500,380700,
394856,"Miami-Fort Lauderdale, FL",8,258800,25e4,236e3,228800,224600,222500,214600,206100,195e3,187100,175300,167900,159e3,151600,141500,137e3,137700,141e3,143e3,142800,143600,145100,146300,147200,147400,145300,143800,141100,137400,131600,126100,127300,130300,130300,123e3,119e3,115500,118900,120200,123500,127300,125800,124300,122700,124300,128e3,130700,134e3,135400,137300,137700,140400,140500,141300,143e3,146e3,149100,153300,157600,161900,160200,160400,162400,166800,169500,171300,173100,174200,176300,177700,180300,179800,180800,180300,181700,184200,187300,187500,187600,188500,192400,196200,196300,198e3,198600,201700,205300,207800,209200,208e3,207700,208200,205400,206200,207400,216800,219e3,222e3,218500,219800,220600,222500,224800,228200,228800,229600,228700,235200,237200,240700,237500,237800,236100,238600,242e3,245300,246200,247e3,251900,259e3,263300,261900,256900,254300,252e3,252300,252e3,257800,261500,264800,262800,
394347,"Atlanta, GA",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94700,95500,95900,98e3,97e3,97100,97e3,97200,98200,99500,103100,105400,108e3,109100,113200,116800,121100,123400,126700,128500,132e3,134700,140300,141500,142100,140100,139400,139500,140300,140600,140400,141300,144800,148700,152600,153900,155400,155300,157900,16e4,162500,163300,169700,171900,173300,168400,168300,169200,169900,171100,172700,174700,175e3,174900,174600,174200,173e3,174600,175600,178100,179500,182500,183500,185200,187100,191200,193500,195e3,194e3,192700,191100,191100,192300,192900,194900,198300,204200,206600,208300,206600,205900,202700,199500,199800,201400,204600,206200,209400,
