State,Per Capita Personal Income,Average Housing Price,Count of Targets,Count of Starbucks,Count of Walgreens,Count of Whole Foods,Count of Home Depot
Alabama,40689,191272.4138,22,85,164,4,28
Alaska,47831,281062.5,3,49,12,0,7
Arizona,38265,251306.383,47,488,241,11,56
Arkansas,41371,175666.6667,9,55,80,2,14
California,44562,613998.5955,285,2821,622,86,232
Colorado,45806,380875.1553,41,481,171,21,46
Connecticut,57554,294637.6623,20,123,125,9,30
Delaware,43223,235166.6667,3,25,64,0,9
Florida,41623,245286.2934,122,694,820,26,153
Georgia,41407,221259.0361,50,326,315,10,90
Hawaii,38514,635176.4706,7,99,19,3,7
Idaho,38477,253719.0476,6,67,38,1,11
Illinois,47302,232493.2367,95,575,592,27,76
Indiana,43180,182475.6757,31,221,197,4,24
Iowa,46230,182246.6667,20,89,71,1,10
Kansas,47221,208743.9024,17,94,71,4,16
Kentucky,40161,185716.3934,13,116,195,2,14
Louisiana,42337,196295.4545,15,84,174,0,28
Maryland,47936,316660.2837,39,257,174,9,41
Massachusetts,53860,402466.8571,43,273,269,31,45
Michigan,42931,195735.4369,53,283,233,7,70
Minnesota,48283,255889.2562,74,184,152,6,27
Missouri,43445,201303.75,35,188,211,3,34
Montana,41457,262400,7,36,13,0,6
Nebraska,50043,193969.5652,14,58,57,2,8
Nevada,40510,305467.8571,17,253,82,5,21
New Hampshire,47837,275492.8571,9,29,36,2,20
New Jersey,48984,362113.2275,46,261,309,16,67
New Mexico,37145,235350,10,76,71,4,13
New York,46416,373425.4808,79,645,685,17,100
North Carolina,42020,220388.0682,51,338,378,12,40
North Dakota,54213,223742.8571,4,13,1,0,2
Ohio,45176,169700,62,378,256,9,70
Oklahoma,43458,155612.2807,15,79,115,3,16
Oregon,41266,345350.4132,19,359,77,10,27
Pennsylvania,46672,219570.9524,72,357,125,13,70
Rhode Island,45795,281048.1481,4,27,67,3,8
South Carolina,39613,209837.5,19,131,166,4,25
South Dakota,49243,190200,5,25,14,0,1
Tennessee,43496,212747.8261,31,180,294,6,39
Texas,43148,255999.5595,149,1042,704,31,179
Utah,38142,333660,13,101,58,5,22
Virginia,46856,337822.9885,59,432,228,13,49
Washington,46863,423222.5641,37,757,136,9,45
West Virginia,37906,184063.6364,6,25,116,0,14
Wisconsin,45679,200396.4286,37,145,227,3,33
